title,kind,release_date,source,source_url,summary,poster_url,updated_at
Morning Joe,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/15309/morning-joe,"On Morning Joe , the hosts Joe Scarborough, Mika Brzezinski, and Willie Geist engage in dynamic discussion about political news and issues important to all Americans. Morning Joe attracts a variety of guests, including top newsmakers, politicians and cultural influencers.",https://static.tvmaze.com/uploads/images/medium_portrait/619/1549478.jpg,2026-06-20T06:44:25+00:00
Wake Up America Early,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/86410/wake-up-america-early,"Wake up to reliable reporting that delivers the essential facts you need to start your day informed, along with expert commentary and thoughtful analysis. Get an early look at the top stories shaping national and global conversations. Whether it's politics, business, culture, or breaking news, you'll be prepared for whatever the day brings.",,2026-06-20T06:44:25+00:00
Morning in America,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/76534/morning-in-america,Morning in America is NewsNation's live national morning newscast hosted by Markie Martin.,https://static.tvmaze.com/uploads/images/medium_portrait/519/1297794.jpg,2026-06-20T06:44:25+00:00
Mornings with Maria,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/71565/mornings-with-maria,Veteran business journalist Maria Bartiromo brings her knowledge of the financial industry to this early show that features a roundtable of rotating industry experts alongside the host. Bartiromo and her guests discuss news stories -- domestic and international -- and other topics that are expected to impact the economy and markets that day. The show's intent is to give viewers a jump-start on making moves to get the most out of their investments.,https://static.tvmaze.com/uploads/images/medium_portrait/614/1536222.jpg,2026-06-20T06:44:25+00:00
FOX & Friends,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/9965/fox-friends,"FOX & Friends is a conservative American early-morning news and opinion talk show on the Fox News Channel. It begins at 6:00 a.m. Eastern Time with the latest Fox News Live headlines and news of the morning and continues with a variety of segments including current events, interviews, updates of news stories with correspondents, right-leaning analysis from the hosts, and entertainment segments.",https://static.tvmaze.com/uploads/images/medium_portrait/614/1536192.jpg,2026-06-20T06:44:25+00:00
Wake Up America,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/76913/wake-up-america,"Start your day and weekend with real news and analysis from Rob Finnerty, Michael Grimm & Sarah Williamson and team.",https://static.tvmaze.com/uploads/images/medium_portrait/522/1306601.jpg,2026-06-20T06:44:25+00:00
Good Morning America,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/8566/good-morning-america,"Good Morning America is a two-hour, live program anchored by Robin Roberts, George Stephanopoulos and Michael Strahan. Lara Spencer is the entertainmnt anchor, and Ginger Zee is the chief meteorologist.",https://static.tvmaze.com/uploads/images/medium_portrait/449/1122639.jpg,2026-06-20T06:44:25+00:00
Today,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/9564/today,"Today is an American news and talk morning television show that airs on NBC. The program debuted on January 14, 1952. It was the first of its genre on American television and in the world, and is the fifth-longest-running American television series.",https://static.tvmaze.com/uploads/images/medium_portrait/564/1410938.jpg,2026-06-20T06:44:25+00:00
CBS Mornings,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/66084/cbs-mornings,"CBS Mornings offers a thoughtful, substantive and insightful source of news and information to a daily audience of 3 million viewers. The Emmy Award-winning broadcast presents a mix of daily news, coverage of developing stories of national and global significance, and interviews with leading figures in politics, business and entertainment.",https://static.tvmaze.com/uploads/images/medium_portrait/605/1514144.jpg,2026-06-20T06:44:25+00:00
Good Morning Football,series,2026-06-19,TVMaze US,https://www.tvmaze.com/shows/21738/good-morning-football,"Prior to the start of the 2016 NFL regular season, NFL Network has announced a new daily morning show, Good Morning Football , premiering Monday, August 1. Hosted by Kay Adams, Nate Burleson, Peter Schrager and Kyle Brandt, and Executive Produced by Michael Davies, Good Morning Football airs live Monday–Friday at 7:00 a.m. ET on NFL Network from CBS Broadcast Center in New York City. The three-hour live show is NFL Network's first show to originate from New York City in the network's nearly 13 year history. Good Morning Football will re-air Monday–Friday starting at 10:00 a.m. ET.",https://static.tvmaze.com/uploads/images/medium_portrait/78/195574.jpg,2026-06-20T06:44:25+00:00
